Sinhala Idiom,English Idiom,What It Means,Figurative Example,Sinhala Translation Example,Evaluation
හිටිය ගමන්ම,"All at once, or all of a sudden",suddenly,The man jumped out of the train all of a sudden.,මිනිහා හිටිය ගමන්ම දුම්රියෙන් එළියට පැන්නේය.,Yes
සියලු යස ඉසුරක්,All the best,wish a person well on ending a letter or parting,I wish you all the best.,මම ඔබට සියලු යස ඉසුරක්ම ප්‍රාර්ථනා කරමි.,Yes
හතර ගාතෙන්,On all fours,with your hands and knees on the ground,"The drunkard was stretched on the ground on
all fours.",බේබද්දා හතර ගාතෙන් බිම වැතිර සිටියේය.,Yes
සියල්ලෙන් සියල්ල,All in all,on the whole,My child is all in all to me.,මගේ දරුවා මට සියල්ලෙන් සියල්ලය.,Yes
කොයිකත් එකයි,All one,all the same,"It's all one to me whether you stay here or go
home","ඔබ මෙහේ සිටියත් ගෙදර ගියත්, කොයිකත් මට එකයි",Yes
ඔක්කම හමාරයි,It's all up,something is finished,"It's all up, the flood water has surrounded the
house.","ඔක්කම හමාරයි, ගං වතුර ගේ වටකරගෙනය.",Yes
ඒ කෙසේ වෙතත්,For all that,in spite of something,"He is blind, but for all that, he's the happiest man I know.","ඔහු අන්ධය; ඒ කෙසේ වෙතත්, ඔහු මා දන්නා ඉතා
වාසනාවන්ත මනුෂ්‍යයාය.",Yes
ඇහැ වාගේ,Apple of one's eye,a person of whom one is extremely fond and proud,The youngest son is the apple of his eye.,බාලම පුතා ඔහුට ඔහුගේ ඇහැ වාගෙයි.,Yes
සාරී පොටේ එල්ලිලා,Tied to one's mother's apron-strings,strongly influenced and controlled by that person,Tied to one's mother's apron-strings.,කිසිවක් තනිවම කරගන්ට බැරිව සාරි පොටේ එල්ලිලා.,Yes
දෑත විදහා,With open arms,in a very friendly way,"The kind old woman received the stranger with
open arms.","කරුණාවන්ත මහලු ස්ත්‍රිය අමුත්තා සාදරයෙන් පිළි
ගත්තාය.",Yes
සන්නාහ සන්නද්ධ,Under arms,provided with weapons and willing to fight,"Within a month the entire German forces were
under arms.","මාසයක් තුළ දී ජර්මන් බල සේනා සියල්ලම සන්නාහ
සන්නද්ධ වූහ.",Yes
නගින කලාව,Star in the ascendant,"someone or something is becoming increasingly powerful, influential, or popular",His star is in the ascendant.,ඔහුට දැන් නගින කලාවයි.,Yes
තමුන්ගේ මල්ල පුරවා ගැනීම,Axe to grind,to have a strong personal opinion about something that you want people to accept and that is the reason why you do something,"He joined the party because he has an axe to
grind.",පෞද්ගලික ප්‍රයෝජනය සඳහා ඔහු පක්ෂයට බැඳුණේ ය.,Yes
අයින් වෙනවා,Back out,to decide not to do something that you had said you would do,"At first he promised to join us or the trip, but
now he is trying to back out.","අපත් සමග ඒ ගමනේ යාමට මුලදී ඔහු පොරොන්දු වූ
නුමුත් දැන් මග අරින්ට තැත් කරයි.",Yes
පස්සා දොර,Back door,"used to refer to an indirect way of achieving something, especially so that people do not know about it and so cannot object to it","He is one of those who have come into the
Department through the back door.",ඔහු පස්සා දොරෙන් දෙපාර්තමේන්තුවට ආ කෙනෙකි.,Yes
